Gene	GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
(ACCTG)n	1.133386392	2.744844611	-0.151731047	1.045018976	0.006214721	2.086999333	0.359321362	1.236681539	0.099458435	0.812764972	1.32789158	0.513633058	-0.881127965	1.568374374	1.275013479	0.486054311
LTR16B	7.033704333	7.094253443	7.25935618	7.053663071	7.153928443	6.977770263	7.240216749	7.136999481	6.934877276	6.674295035	6.225132006	6.223291306	6.31854438	6.541067028	6.008367819	5.77145653
MER31B	8.237151045	8.024544471	8.426452921	8.385553857	8.640662783	8.318380538	8.597043492	8.557789688	8.244116678	8.151342196	7.93965414	8.02406758	8.42036823	8.4680334	7.511506097	8.027796283
LTR16B1	8.71081522	8.70914845	8.49572738	8.581191458	8.566165334	8.388343096	8.517029197	8.585409694	8.173064476	8.166541933	7.428028251	7.424525584	7.565955261	7.879441476	7.332463751	7.236482165
LTR16C	10.83839036	10.80470902	10.3144474	10.33095464	10.61483918	10.54943344	10.6269441	10.63386997	10.27613027	10.21028682	9.484733105	9.439434725	9.687778189	9.56272781	9.028564533	9.332589415
(CTGGGG)n	5.645498327	5.311191434	5.103769686	5.489237501	5.965057396	5.914818358	6.283285471	6.103679408	5.870287482	5.740119671	6.145514838	6.108579647	6.586477585	6.465614799	5.74750125	6.284796103
LTR78	10.25303496	10.14090044	9.93015179	9.808359044	9.817107633	9.732297497	9.845150671	9.850387304	9.477536491	9.414270486	9.032486928	9.161091485	9.377438069	9.442433577	8.732804739	9.029086132
Kanga2_a	9.441725422	9.143752704	9.069856074	9.133705305	9.574170796	9.489016542	9.471947035	9.51322896	9.154198402	8.997640315	8.690712106	8.548890383	9.172797916	9.058623584	8.442933344	8.710055985
MLT1E	7.719714434	7.746000154	7.707493115	7.69882864	7.719085588	7.717327138	7.850029008	7.912959207	7.627717178	7.269852651	6.832511973	7.246083171	7.352491711	7.517909307	6.589710004	6.849459042
5S	7.283133511	6.92092184	6.933608622	6.953757996	7.372536935	7.194129208	7.15001894	7.123763654	6.64480908	6.78348718	7.493803519	7.494724596	7.766330461	7.545654297	7.519139422	7.804973656
MER92C	4.986837728	5.081494212	5.026186745	5.079288878	4.579104389	4.062751787	4.864849395	5.339492345	5.072151089	4.15515717	3.529525441	4.811313607	4.545136789	4.375729296	4.162538749	4.733981825
(TTCA)n	9.433426894	9.366708641	9.062102236	8.88906078	8.985211117	8.760367305	9.133637799	9.028140457	8.63161952	8.673408586	8.275090164	8.239283339	8.600671466	8.744298116	7.938927321	8.269598272
(CCCTA)n	-0.004117132	-2.540557607	0.33369578	-2.655420742	-2.315713374	-1.819891262	-2.44803356	-0.637787578	-2.222469659	-1.99458995	-0.994036515	-1.071329443	-0.881127965	-0.753553721	0.538047884	-1.098908189
7SK	5.723803323	5.593868713	6.343324481	5.791662484	5.632653857	5.256924335	5.775968114	5.81616891	5.39958216	5.318293006	6.598420523	6.346523072	6.107556721	6.235130966	6.515327808	6.284796103
LTR86B2	4.83382611	4.754063141	4.371830909	3.883738069	4.504465588	4.157388661	4.585389442	4.64761464	4.081311089	4.272196591	5.155710605	4.994759748	5.833117552	6.165309516	5.102832503	5.695507677
MLT1J2	10.87837308	10.87927093	10.74475273	10.53887443	10.70057261	10.63466508	10.83317204	10.78164597	10.46337415	10.25837109	9.766683433	9.709210325	9.938252826	9.878532692	9.390837456	9.731607018
LTR12C	13.71435153	13.86090527	13.11115659	13.114856	13.67768945	13.65669674	13.67808607	13.6093735	13.15022539	13.24362817	12.02711698	11.98174794	11.8647564	11.94232703	11.62838088	11.8430564
U13	0.843879775	1.366332988	1.918658281	0.51450426	1.932214139	-0.234928762	0.359321362	0.947174922	-0.637507159	0.812764972	0.590925986	1.250598652	0.703834535	1.568374374	-1.046914616	0.486054311
L1M3b	7.37958716	7.097878307	7.131820376	6.699930355	7.003958747	6.783735082	7.057777994	6.934596856	6.746197134	6.286180821	5.924826723	6.108579647	5.989236754	6.612768493	5.667330901	6.020032883
MLT1L	11.72439865	11.62301345	11.35735114	11.27873082	11.23033702	11.09654806	11.48869638	11.46232719	11.09875382	10.92818026	11.22603946	11.16079164	11.41263104	11.42105993	11.17799147	11.40814311
MLT1H2	11.12271638	10.99362367	11.08917951	10.88191901	11.21213012	11.11066129	11.15153065	11.18012875	10.70104354	10.70909738	9.443715558	9.235871367	9.857808716	9.652651284	9.073323261	9.363594083
MLT1F-int	8.0565788	7.974156447	7.926152818	8.014350147	7.812280947	7.72507317	7.661797094	7.642983192	7.23491122	7.132114523	7.055812035	7.083488666	7.565955261	7.206448211	6.82960233	7.163186656
(GAGAA)n	8.192607929	8.374574842	6.846012979	6.834427219	6.180141653	6.488447768	6.907317536	6.740145926	6.395915843	6.304618069	3.960159796	3.016133399	2.288797036	0.831408779	1.760440306	3.424653767
LTR15	5.610592712	5.8037383	6.523520339	6.35300788	7.400248616	6.997092361	7.179500324	7.329919018	6.740426346	6.809541072	5.77414781	5.118495116	6.357276774	6.235130966	5.460880024	5.559303293
MER31-int	9.301944557	9.082866682	8.935201294	8.960668572	8.948142645	8.61786081	9.013957391	8.97139116	8.528237327	8.488218007	8.56629632	8.297177019	9.114639186	9.29220594	8.222212063	8.406903364
LTR85a	8.603952836	8.445995542	8.336108987	8.163960049	8.818071035	8.599015469	8.858597802	8.791967851	8.519839777	8.110008804	7.695961457	7.5543794	7.622697773	7.850072624	7.511506097	7.163186656
LTR16D2	7.479698645	7.290749636	7.228513544	6.964799084	7.680053777	7.591619726	7.798707038	7.918079692	7.394079184	7.329590597	5.545122296	5.436465198	5.422652783	5.550227027	4.975453197	5.167878351
(TCCCC)n	6.871171466	6.646794466	6.465920073	6.205666164	6.317281823	6.240804669	6.455848286	6.522083758	6.139474114	5.80630995	6.282087891	6.223291306	7.113225472	6.925926378	6.072026456	6.432473271
LTR33	12.20027061	12.12660939	11.28550085	11.23075213	11.95246308	11.87217931	11.7317978	11.69546097	11.22345047	11.19847333	10.21114581	10.32045116	10.51494159	10.54622668	10.08043492	10.24815947
MER107	7.879748022	7.739052974	6.76713219	6.793727904	6.816143587	6.576713519	6.626107903	6.574911447	6.094942954	6.098167191	6.017190741	6.108579647	6.711329072	6.365387351	5.798575435	6.267414025
MER61B	6.99813532	6.814793489	6.832402548	6.931419046	7.003958747	7.059691987	7.021608257	6.974466614	6.343584379	6.631118893	5.948477991	6.167075297	6.485194249	6.994639128	6.191490123	5.77145653
(CTAGGG)n	6.096019539	6.055632149	4.645281931	4.844425145	6.063664993	6.208014734	5.83273721	5.45673002	5.212158568	5.082225647	3.398280908	3.786651553	3.97685303	3.890302469	3.707972886	2.601531529
HERV4_I-int	8.40442491	8.322854352	7.522108009	7.467407253	7.47707692	7.33239358	7.481224849	7.329919018	6.974747034	6.815981685	6.740673106	6.594006475	6.839971223	6.823875107	6.132994474	6.400937698
LTR53	8.113785657	8.102396616	7.555628085	7.401216973	7.537596181	7.600068915	7.755314443	7.764513933	7.379301129	7.063401773	6.754156335	6.703457617	6.485194249	6.868498098	6.404296496	6.635801431
PRIMA41-int	8.237151045	8.113183171	8.021196443	7.792695564	8.202939782	8.135758645	8.290903122	8.357508488	7.79851028	7.778549257	7.444755338	7.190765403	8.05256269	8.24362576	7.06682755	7.236482165
MER67D	7.824971312	7.499732114	7.464450184	7.140618867	7.534473464	7.143004743	7.530676899	7.553682953	7.279367526	6.652868477	6.017190741	6.31237485	6.013689798	5.312535469	4.930365307	5.819955048
MER34B-int	7.576329888	7.42378326	7.677357397	7.043283925	7.120998168	6.738529451	7.501793151	7.523764242	6.974747034	6.968306056	7.033869482	7.152672232	7.614727062	7.360188445	6.714636616	6.70199171
MER58B	11.01672395	10.85965475	10.9395721	10.92472003	11.04032587	10.81105836	10.73668685	10.76077799	10.31790058	10.07720757	10.55334005	10.51128301	10.91125565	11.06062816	10.49949758	10.69103294
MamRep1527	8.272937744	8.001506935	8.210212727	7.983919967	8.177141246	7.95654177	8.202120654	8.166343443	7.730271588	7.534840605	6.906830293	6.956576554	7.515476816	7.470447953	6.247706133	6.993848951
L1M3d	7.527264328	7.364829398	8.07804912	7.937970381	7.145766073	6.977770263	7.021608257	7.08331161	6.54901981	6.452493277	6.061245921	6.147839078	6.237813107	6.344478362	5.94177007	6.384907588
Tigger4	9.897654849	9.765788946	9.760260067	9.667352435	9.876887676	9.544790593	9.859451889	9.820619035	9.29175125	9.268092193	9.182136634	9.099847355	9.428348389	9.626907344	8.755601749	8.963137948
GSATII	9.109104111	9.074612206	8.665252576	8.677175316	9.060954688	9.041971078	9.284557876	9.210313686	8.825335895	8.526028731	6.336880363	6.608150657	5.688727643	5.396193398	5.847903147	6.68899437
Charlie10	8.636127804	8.412911355	8.929885536	8.802473095	8.463185102	8.287325813	8.41382878	8.436353884	7.978428946	7.73162821	7.897747189	7.639476991	7.967494975	7.726226543	7.607721412	7.869758604
PRIMAX-int	7.323210951	6.887802565	6.368691202	6.455714928	7.410504785	6.79849424	6.971926618	6.867362341	6.373720097	6.322822664	6.124904558	5.799035277	6.152295036	6.714051829	6.029900981	5.669276135
MER83A-int	3.823701893	3.726228933	2.883892863	3.883738069	3.661566549	3.134305048	4.372145402	4.152289352	3.754810264	3.620119895	4.620673329	3.882866868	5.001515084	4.290840398	3.47664734	4.392944907
Tigger16b	9.770999272	9.397919331	9.678942602	9.616334064	10.04376167	9.721689398	9.991537636	9.941214012	9.508424987	9.245605104	7.891659859	7.844549936	7.973740418	8.132142652	7.586080581	8.117837669
MLT1G1	10.28659294	10.20952126	9.824116921	9.710628209	10.22610925	9.994290622	10.36394313	10.32293842	9.841936302	9.664960047	9.11579414	9.251725318	9.520818159	9.555922633	8.781221868	9.305168947
UCON17	1.921882287	2.503836512	2.28122836	2.298775569	2.207848582	0.98746366	2.761419806	2.906532938	3.062932559	-0.409627449	0.590925986	1.736025479	2.578303653	-0.753553721	-1.046914616	1.223019905
Tigger10	8.428007141	8.335191744	8.023194636	7.892437764	7.724576347	7.165950675	8.189496991	8.185579662	7.747636231	7.412677815	7.927804422	7.959337694	8.624683589	8.606195839	8.084942344	8.088443884
(CACGC)n	2.197516729	3.834481824	2.655623875	1.432042099	3.566929675	2.57242616	2.909518445	3.610139935	0.099458435	3.559998902	2.175888487	2.388102176	1.44080013	2.41637128	1.275013479	-1.098908189
MER89-int	7.326799746	6.965253946	6.832402548	6.953757996	7.129301472	6.404110412	7.204811413	7.393798765	6.693409719	6.667188148	6.406842922	6.363298785	6.867064884	7.021233338	6.370937899	6.284796103
LTR18B	8.001507417	8.226799247	7.150222348	6.950058776	7.182138463	7.21628235	7.490075766	7.472478212	6.86764276	6.841460405	5.800379352	6.108579647	6.357276774	6.426355369	6.008367819	5.866876095
MLT1N2	10.67624239	10.4767728	10.24508777	10.20895888	10.52211164	10.35721678	10.52620176	10.41410108	9.890946952	9.792088084	9.617910427	9.447323713	9.783319319	9.862075916	9.300706752	9.576166731
HERV1_LTRc	5.281285087	5.036871221	5.58703679	5.372485255	5.405385815	5.256924335	5.428483387	5.125978075	4.766215027	4.513204691	2.465395104	2.629110276	1.44080013	1.568374374	2.123010385	-1.098908189
(TATTG)n	4.415421759	4.716830235	4.065499669	3.684429261	4.254142234	4.157388661	4.238466967	3.331838773	3.135082345	3.290812269	3.960159796	4.286222562	4.3283254	4.001333781	4.310637388	4.392944907
LTR22C	7.889487773	7.946277414	6.781369428	6.818285008	7.233108534	7.387123058	7.328399472	7.167418877	6.734632382	6.427474817	6.906830293	6.594006475	7.565955261	7.957252712	6.515327808	6.849459042
LTR23-int	6.20923015	5.749461239	6.387427764	5.999215287	6.15596184	5.727003197	5.965594369	6.139193695	5.82737889	4.663621533	5.381002917	5.26852056	5.049609372	5.177183616	4.883822721	5.204872559
MLT1E1A	11.11702782	11.13020927	10.59696498	10.30149986	10.36178606	10.27451637	10.50416166	10.48654917	9.896795724	9.694097474	9.029717839	9.05924112	9.382141235	9.488429428	8.940349396	9.14307496
Eulor9C	4.544319493	3.967237033	4.240586376	3.753970194	4.342498109	4.062751787	3.994909936	4.252983352	3.708267678	3.04980417	3.760850987	2.629110276	4.476424039	3.153336874	2.123010385	4.030374827
MLT1-int	8.050080162	7.880455248	7.467388465	7.07759458	7.205887066	6.904622591	7.089184841	7.0649623	6.5290744	6.200166905	5.800379352	4.95103837	5.748228655	5.550227027	4.625510726	5.090916369
LTR88a	7.840117856	7.718008426	7.082846913	6.997424231	7.499669922	7.30681321	7.781986876	7.778658115	7.023083047	7.126943568	6.389667778	5.847533795	6.681114459	6.066625241	5.94177007	6.318944325
MER121	7.872399815	7.258724014	8.125323829	7.936101605	7.880273924	7.578852429	7.547733591	7.27110537	6.934877276	6.427474817	5.415354421	5.871185063	6.152295036	6.09193633	4.785975398	5.889776497
MER89	9.723463024	9.572859004	9.704071825	9.538412591	9.57188805	9.484460059	9.814942141	9.790921535	9.273884829	8.881159402	7.933741447	8.018782977	7.870416094	8.232288216	7.564110181	7.980576594
LTR14B	8.839489914	8.873599072	8.123462287	8.085203303	8.547698585	8.545337587	8.723768729	8.740868538	7.938662224	8.102125205	6.583392313	6.396276107	6.553500262	6.714051829	6.420690934	6.635801431
MADE2	8.856969774	8.448836892	8.439978286	8.28048094	8.332644208	8.164527196	8.532820046	8.564336245	7.895173442	7.765298234	8.21785178	8.22099219	8.671541132	8.601797375	7.89852922	8.291260767
HERV17-int	11.91123944	11.90749415	10.92174111	11.0342497	11.1522742	11.16897091	10.87741245	10.80325456	10.14467204	10.09452945	9.494807832	9.262943843	9.877927974	9.975217128	9.036564711	9.441219849
MER97d	5.17380066	5.194152013	5.191676775	5.158360449	5.135497738	4.446895278	4.882883318	5.108166799	4.316689152	4.234228741	5.195788044	4.905950481	5.268619154	5.550227027	4.835728433	5.819955048
MER45A	10.08890421	10.00223245	10.03636322	10.01501422	9.98892315	9.859148924	9.769621273	9.803427518	9.135632048	8.981974174	8.519691081	8.252851104	8.547232207	8.552507968	8.115476712	8.495416414
MLT2E	7.234287607	7.171969393	7.020196307	6.942631758	7.095797614	7.095988116	7.219077982	7.310579653	6.575191866	6.501265077	5.415354421	5.037195014	6.06138654	6.014630604	5.460880024	5.276131242
MLT2F	9.767702436	9.66431916	9.411655919	9.403585653	9.739908001	9.651275871	9.788877551	9.792316454	9.037861859	9.089554061	8.163310421	7.914512494	8.330760329	8.428840632	7.938927321	8.017435772
LTR18A	7.207284505	7.361817507	6.442220237	5.92577984	6.551565366	6.659889002	6.683823401	6.856734705	5.942437267	6.139836371	5.309744233	4.859407895	5.626666675	5.177183616	4.883822721	5.587592338
(TAG)n	5.848880456	5.712107825	6.277884917	6.027573842	6.097914555	5.845444655	6.148156196	6.165267206	5.471017298	5.371732265	5.635320105	6.04761163	6.107556721	5.78560509	5.582442004	5.795909574
MER45R	7.68098204	7.287578877	7.669724072	7.401216973	7.550019897	7.2052483	7.484181192	7.540462288	6.86764276	6.652868477	6.082779082	6.204794963	6.216904118	6.406317616	6.191490123	6.158479653
LTR84a	7.059817174	6.626860538	7.289553225	6.777121159	5.936952058	5.831160429	6.811709704	6.619600264	6.257310605	5.582838878	6.598420523	6.490912982	7.113225472	6.838903316	6.604137075	6.384907588
LTR48B	8.313295482	8.216832402	7.996999732	7.884707297	8.113693367	7.979390359	8.228805046	8.368772267	7.621451392	7.454558696	7.903808941	7.632574131	8.171440085	7.929440862	7.341102669	7.63918407
HSAT4	6.993626894	6.883608681	5.939968787	6.739041953	6.180141653	6.32476698	6.023641654	5.737251853	5.143852555	5.082225647	4.135246502	4.656591012	-0.881127965	1.568374374	1.275013479	3.655979313
(CAATG)n	3.165807869	2.744844611	1.613803699	2.702131263	2.969688845	2.267571579	1.944283863	2.635230916	2.301092297	-0.409627449	-0.994036515	0.513633058	1.926226957	-0.753553721	-1.046914616	1.223019905
(CAGGG)n	6.895541894	6.78811732	6.122530614	6.511997404	6.990348315	7.148775531	6.942135396	6.757389498	5.982101485	6.170316977	7.873242225	7.931485573	7.333191155	7.857471076	7.89852922	8.012227481
LTR16A1	10.63486173	10.52469021	10.01191863	9.853611944	10.30198366	10.14192015	10.27156917	10.1906134	9.537834466	9.35690146	8.365713046	8.225586764	8.460946703	8.538767912	7.85093084	8.354362445
MLT2B2	9.683433519	9.606329228	9.265699566	9.143456026	9.75943147	9.762721189	9.507253085	9.440363229	8.771176401	8.589432991	7.986103063	7.970329709	8.474223131	8.463192137	8.179497576	8.063483139
MER73	7.842626891	7.75750496	7.090490348	7.008137362	7.852958744	7.781879526	8.124666666	8.183454926	7.306960895	7.416921038	5.195788044	5.371614053	5.385658575	5.550227027	4.379350138	5.276131242
(CAG)n	8.844505808	8.716240779	8.310157618	8.584774312	9.180641114	9.187836852	9.300578617	9.326553289	8.48229858	8.559039344	9.189598867	9.17778401	8.064315871	8.579601629	9.401201689	9.48699326
MLT1E1	8.828139982	8.681633531	8.348911689	8.088572119	8.849821767	8.660898939	9.032251761	9.018637285	8.342632419	8.099487736	7.517716139	7.80211467	7.94859477	7.827646861	7.556711729	7.396946837
MER84-int	5.367441731	5.081494212	4.421158622	5.119366318	5.306338445	5.213531739	5.579872437	5.324144381	4.896471413	4.345260053	4.291365704	4.354935312	4.673460886	5.223726202	3.811066379	3.759072806
MER41B	9.803559784	9.590334662	9.377699507	9.33219857	9.758093473	9.477598239	10.14325502	10.15527377	9.493063404	9.151978726	9.30173242	9.304795947	9.53355727	9.743300056	8.742619029	9.224146571
(CGATA)n	-2.326045227	-2.540557607	-2.473659142	-2.655420742	-2.315713374	-1.819891262	-2.44803356	-0.637787578	-2.222469659	-1.99458995	0.590925986	-1.071329443	-0.881127965	-0.753553721	-1.046914616	-1.098908189
Arthur1C	6.510005128	6.025496431	6.317503747	6.205666164	7.308168116	7.1078867	7.157445958	7.08331161	6.607253076	5.766961283	5.924826723	6.04761163	6.53672455	6.116810998	5.721269708	5.999123894
(CGAGG)n	-2.326045227	-0.955595107	-2.473659142	-2.655420742	-0.730750873	-1.819891262	-2.44803356	-0.637787578	-2.222469659	-1.99458995	1.813318407	-1.071329443	1.44080013	2.946885997	-1.046914616	1.708446733
MER74C	7.594307628	7.67740009	6.703760396	6.946350047	6.563869876	6.602173504	6.967708208	6.903954394	6.011150017	6.108697859	5.635320105	5.436465198	5.939050997	6.188960784	5.292935387	5.204872559
AmnSINE2	7.533489559	7.115867256	7.322380467	7.07759458	7.369035246	7.248887015	7.433080401	7.238729368	6.54901981	6.358556876	4.678388827	4.543380402	5.184961225	5.655837215	5.219871924	4.878371734
MER95	4.59281801	3.935175824	5.261050478	5.383498247	5.523490414	5.256924335	5.188591061	4.976922266	4.435741823	3.8880531	4.678388827	5.118495116	4.900231748	5.079336293	4.238487603	4.392944907
HERVL18-int	9.371356781	9.510991231	8.318317679	8.116893832	8.798679681	8.782807603	8.972453053	8.990961719	8.288294509	7.817587356	6.882480432	6.888672489	7.362046018	7.33920342	6.336789676	6.765277955
