gene
C1orf141
PKP1
RERE
CSMD2
SLC44A5
TTLL7
GLMN
MAN1A2
ANXA9
MPZL1
COP1
C1orf21
HSD11B1
SDCCAG8
AGRN
PRKCZ
PRDM16
ACOT7
CAMTA1
PEX14
DISP3
DHRS3
KAZN
PLEKHM2
ACTL8
ALDH4A1
PLA2G2E
EIF4G3
KDM1A
WDTC1
EPHA10
TRIT1
ZSWIM5
PIK3R3
P3R3URF-PIK3R3
PDZK1IP1
SLC5A9
AGBL4
EPS15
TUT4
DAB1
PATJ
ROR1
JAK1
PDE4B
WLS
FPGT-TNNI3K
TNNI3K
ST6GALNAC3
ZZZ3
IFI44L
ADGRL2
MCOLN2
COL24A1
HS2ST1
DPYD
CEPT1
ATP1A1
RNF115
PDE4DIP
OTUD7B
NUP210L
MUC1
PMF1-BGLAP
PMF1
UHMK1
PBX1
ALDH9A1
SCYL3
DNM3
TNN
BRINP2
RASAL2
SOAT1
ACBD6
RGSL1
SMG7
ASPM
NEK7
PPP1R12B
PIK3C2B
CDK18
RASSF5
CR1
KCNH1
LPGAT1
FLVCR1
USH2A
ESRRG
RAB3GAP2
SUSD4
WDR26
URB2
COG2
DISC1
FMN2
RGS7
PLD5
KIF26B
SMYD3
OR2G6
TTLL10
PUSL1
VWA1
SSU72
CDK11A
GNB1
CFAP74
MORN1
PLCH2
MMEL1
TTC34
MEGF6
TP73
AJAP1
NPHP4
KCNAB2
CHD5
NOL9
DNAJC11
SLC2A5
SPSB1
SLC25A33
PIK3CD
NMNAT1
UBE4B
KIF1B
CASZ1
MTOR
FBXO6
MTHFR
TNFRSF1B
VPS13D
PRAMEF19
LRRC38
PRDM2
TMEM51
FHAD1
CELA2A
SPEN
FBXO42
SZRD1
SDHB
RCC2
ARHGEF10L
IGSF21
KLHDC7A
PAX7
UBR4
CAPZB
TMCO4
PLA2G2C
VWA5B1
KIF17
ECE1
RAP1GAP
USP48
HSPG2
EPHB2
HTR1D
HNRNPR
ASAP3
FUCA1
STPG1
RCAN3
CLIC4
RUNX3
RSRP1
RHD
LDLRAP1
MAN1C1
MTFR1L
CRYBG2
HMGN2
ARID1A
TRNP1
SLC9A1
GPR3
STX12
EYA3
PTAFR
PHACTR4
TRNAU1AP
GMEB1
OPRD1
EPB41
MECR
PUM1
NKAIN1
ZCCHC17
KPNA6
BSDC1
ZBTB8OS
KIAA1522
TMEM54
AK2
TRIM62
ZNF362
PHC2
C1orf94
ZMYM6
ZMYM4
KIAA0319L
AGO1
AGO3
MAP7D1
SH3D21
OSCP1
GRIK3
RSPO1
INPP5B
RHBDL2
MACF1
RLF
RIMS3
NFYC
SCMH1
HIVEP3
FOXJ3
CCDC30
PPCS
CFAP57
MED8
ST3GAL3
ERI3
RNF220
ARMH1
PTCH2
EIF2B3
TESK2
NASP
IPP
MAST2
RAD54L
FAAH
ATPAF1
TRABD2B
SPATA6
BEND5
ELAVL4
FAF1
C1orf185
RNF11
OSBPL9
TXNDC12
ZFYVE9
COA7
ZYG11B
SCP2
PODN
CZIB
GLIS1
YIPF1
CDCP2
SSBP3
MROH7
TTC22
PCSK9
USP24
FYB2
C8A
FGGY
CYP2J2
C1orf87
NFIA
KANK4
DOCK7
EFCAB7
UBE2U
CACHD1
RAVER2
DNAJC6
LEPR
SGIP1
DNAI4
MIER1
IL23R
IL12RB2
GNG12
LRRC7
PTGER3
NEGR1
LRRIQ3
ERICH3
CRYZ
ACADM
MSH4
ST6GALNAC5
PIGK
AK5
USP33
MIGA1
DNAJB4
GIPC2
PTGFR
ADGRL4
PRKACB
DNASE2B
SPATA1
SSX2IP
DNAI3
SYDE2
DDAH1
ODF2L
SELENOF
PKN2
GTF2B
GBP5
LRRC8C
LRRC8D
ZNF644
HFM1
TGFBR3
BRDT
BTBD8
EVI5
DIPK1A
CCDC18
FNBP1L
BCAR3
ABCA4
ARHGAP29
ABCD3
ALG14
TLCD4
TLCD4-RWDD3
PTBP2
SNX7
PLPPR5
FRRS1
AGL
SLC35A3
TRMT13
RTCA
CDC14A
SLC30A7
OLFM3
COL11A1
RNPC3
NTNG1
VAV3
SLC25A24
HENMT1
STXBP3
GPSM2
ELAPOR1
SORT1
GNAI3
KCNC4
KCNA2
CD53
TMIGD3
RAP1A
KCND3
CTTNBP2NL
ST7L
TAFA3
LRIG2
MAGI3
RSBN1
AP4B1
TRIM33
AMPD1
SYCP1
TSPAN2
CASQ2
SLC22A15
MAB21L3
CD58
IGSF3
PTGFRN
VTCN1
WDR3
SPAG17
REG4
NOTCH2
NBPF8
SRGAP2C
NBPF15
SRGAP2B
FAM72D
NBPF20
GPR89A
ANKRD35
CHD1L
FMO5
BCL9
GPR89B
NBPF11
NOTCH2NLB
NOTCH2NLC
NBPF19
VPS45
PRPF3
RPRD2
CTSS
ARNT
PSMD4
CGN
SNX27
TDRKH
FLG
LCE2A
INTS3
GATAD2B
TDRD10
KCNN3
PMVK
ADAM15
FDPS
ASH1L
DAP3
GON4L
ARHGEF2
LMNA
MEF2D
ARHGEF11
FCRL5
FCRL3
FCRL1
KIRREL1
OR10K1
KCNJ10
ATP1A4
COPA
CD84
CD48
LY9
NECTIN4
FCER1G
SDHC
ATF6
OLFML2B
NOS1AP
SH2D1B
DDR2
HSD17B7
RGS5
LMX1A
RXRG
FAM78B
POGK
MAEL
STYXL2
POU2F1
CD247
RCSD1
ADCY10
DCAF6
TBX19
NME7
SLC19A2
SELP
KIFAP3
MROH9
PRRC2C
VAMP4
SLC9C2
CENPL
RC3H1
RABGAP1L
TNR
PAPPA2
ASTN1
CRYZL2P-SEC16B
TEX35
RALGPS2
FAM20B
ABL2
AXDND1
NPHS2
CEP350
XPR1
STX6
CACNA1E
ZNF648
RNASEL
RGS8
DHX9
LAMC1
LAMC2
NMNAT2
ARPC5
RGL1
COLGALT2
NIBAN1
RNF2
SWT1
HMCN1
ODR4
PLA2G4A
BRINP3
RO60
CDC73
KCNT2
CFH
CFHR5
CRB1
DENND1B
LHX9
PTPRC
NR5A2
ZNF281
CAMSAP2
CACNA1S
IGFN1
NAV1
IPO9
LGR6
SYT2
KDM5B
KLHL12
PPFIA4
ADORA1
ATP2B4
ZBED6
ZC3H11A
SOX13
GOLT1A
PLEKHA6
NFASC
TMCC2
LEMD1
SLC26A9
SRGAP2
MAPKAPK2
IL19
FCAMR
C4BPB
CD55
CR2
PLXNA2
CAMK1G
UTP25
SYT14
SERTAD4
HHAT
RCOR3
INTS7
DTL
PPP2R5A
ATF3
NSL1
RPS6KC1
PROX1
SMYD2
PTPN14
KCNK2
KCTD3
GPATCH2
SPATA17
TGFB2
SLC30A10
BPNT1
MARK1
TAF1A
AIDA
DISP1
CAPN8
CAPN2
FBXO28
NVL
CNIH3
DNAH14
ENAH
EPHX1
PARP1
PSEN2
CDC42BPA
WNT9A
OBSCN
H2BU1
NUP133
GALNT2
PGBD5
TTC13
TRIM67
SPRTN
SIPA1L2
PCNX2
SLC35F3
RBM34
ARID4B
TBCE
LYST
NID1
GPR137B
EDARADD
HEATR1
ACTN2
MTR
RYR2
CHRM3
GREM2
KMO
WDR64
BECN2
CEP170
AKT3
ZBTB18
ADSS2
CATSPERE
COX20
EFCAB2
TFB2M
ZNF670
OR14A2
OR2L13
OR2T6
OR2T35
OR4F5
OR4F29
OR4F16
SAMD11
NOC2L
KLHL17
PLEKHN1
PERM1
HES4
ISG15
RNF223
C1orf159
TNFRSF18
TNFRSF4
SDF4
B3GALT6
C1QTNF12
UBE2J2
SCNN1D
ACAP3
INTS11
CPTP
TAS1R3
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20
ANKRD65
TMEM88B
ATAD3C
ATAD3B
ATAD3A
TMEM240
FNDC10
MIB2
MMP23B
CDK11B
SLC35E2B
NADK
CALML6
TMEM52
GABRD
FAAP20
SKI
RER1
PEX10
PANK4
HES5
TNFRSF14
PRXL2B
ACTRT2
ARHGEF16
TPRG1L
WRAP73
CCDC27
SMIM1
LRRC47
CEP104
DFFB
C1orf174
RPL22
RNF207
ICMT
HES3
GPR153
HES2
ESPN
TNFRSF25
PLEKHG5
TAS1R1
ZBTB48
KLHL21
PHF13
THAP3
VAMP3
PER3
UTS2
TNFRSF9
PARK7
ERRFI1
SLC45A1
ENO1
CA6
SLC2A7
GPR157
H6PD
TMEM201
CLSTN1
CTNNBIP1
LZIC
RBP7
PGD
CENPS
CENPS-CORT
CORT
DFFA
C1orf127
TARDBP
MASP2
SRM
EXOSC10
ANGPTL7
UBIAD1
FBXO2
FBXO44
MAD2L2
DRAXIN
AGTRAP
C1orf167
CLCN6
NPPA
NPPB
KIAA2013
PLOD1
MFN2
MIIP
TNFRSF8
AADACL4
AADACL3
CFAP107
PRAMEF12
PRAMEF1
PRAMEF11
HNRNPCL1
PRAMEF2
PRAMEF4
PRAMEF10
PRAMEF7
PRAMEF6
PRAMEF27
HNRNPCL3
PRAMEF25
HNRNPCL2
PRAMEF26
HNRNPCL4
PRAMEF9
PRAMEF13
PRAMEF18
PRAMEF5
PRAMEF8
PRAMEF33
PRAMEF15
PRAMEF14
PRAMEF17
PRAMEF20
PDPN
EFHD2
CTRC
CELA2B
CASP9
DNAJC16
AGMAT
DDI2
RSC1A1
SLC25A34
TMEM82
FBLIM1
UQCRHL
ZBTB17
SRARP
HSPB7
CLCNKA
CLCNKB
FAM131C
EPHA2
ARHGEF19
CPLANE2
SPATA21
NECAP2
NBPF1
CROCC
MFAP2
ATP13A2
PADI2
PADI1
PADI3
PADI4
PADI6
TAS1R2
IFFO2
EMC1
MRTO4
AKR7A3
AKR7A2
SLC66A1
MICOS10
MICOS10-NBL1
NBL1
HTR6
RNF186
OTUD3
PLA2G2A
PLA2G5
PLA2G2D
PLA2G2F
UBXN10
CAMK2N1
MUL1
FAM43B
CDA
PINK1
DDOST
SH2D5
HP1BP3
NBPF3
ALPL
LDLRAD2
CELA3B
CELA3A
CDC42
WNT4
ZBTB40
EPHA8
C1QA
C1QC
C1QB
LACTBL1
TEX46
LUZP1
ZNF436
TCEA3
E2F2
ID3
RPL11
ELOA
PITHD1
LYPLA2
GALE
HMGCL
CNR2
PNRC2
SRSF10
MYOM3
IL22RA1
IFNLR1
GRHL3
NIPAL3
NCMAP
SRRM1
SYF2
TMEM50A
RHCE
MACO1
SELENON
AUNIP
PAQR7
STMN1
PAFAH2
EXTL1
SLC30A2
TRIM63
PDIK1L
FAM110D
C1orf232
ZNF593OS
ZNF593
CNKSR1
CATSPER4
CEP85
SH3BGRL3
UBXN11
CD52
ZNF683
LIN28A
DHDDS
RPS6KA1
PIGV
ZDHHC18
SFN
GPN2
GPATCH3
NR0B2
NUDC
KDF1
TENT5B
TMEM222
SYTL1
MAP3K6
FCN3
CD164L2
WASF2
AHDC1
FGR
IFI6
FAM76A
PPP1R8
THEMIS2
RPA2
SMPDL3B
XKR8
DNAJC8
ATP5IF1
SESN2
MED18
RCC1
RAB42
TAF12
YTHDF2
TMEM200B
SRSF4
PTPRU
MATN1
LAPTM5
SDC3
SNRNP40
