Gene	GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
RNASE10	-5.055886575	-5.280377286	-5.254654907	-5.368829095	-5.074014278	-4.596620308	-5.136602718	-4.930316679	1.665521189	1.40274418	1.756665504	1.651084307	1.914351083	1.384989373	0.765383973	0.401718914
RNASE3	-5.055886575	-5.280377286	-5.254654907	-2.198904094	-5.074014278	-4.596620308	-3.551640217	-4.930316679	-0.419012321	-5.040199315	-4.07622451	-4.130275407	-3.758074259	-3.659404746	-4.092597023	-4.242137276
RNASE7	-5.055886575	-5.280377286	-5.254654907	-5.368829095	-5.074014278	-4.596620308	-3.551640217	-4.930316679	-2.469638394	-0.285311813	-4.07622451	-0.960350405	-3.758074259	-3.659404746	-4.092597023	-4.242137276
RNASEH1	-0.532324619	-1.032449773	-0.300458597	-0.845267139	-1.167123682	-0.073058352	-0.278621722	-0.28646049	-0.147710299	-0.18221832	0.011238331	-0.223384811	1.28631986	1.198576249	-1.2852421	0.005790237
RNASEH1-AS1	-1.355446857	-2.958449191	-2.084729906	-2.561474173	-1.37357456	-1.426695306	-1.049139876	-0.842853838	2.937325805	2.721351917	2.912460177	2.499081213	2.508712282	2.271332591	2.752893028	2.024649265
RNASEH1P2	-0.532324619	-1.579937568	-0.499767405	-5.368829095	-0.986551437	-0.348692794	-1.677171099	-2.122961757	-1.576553598	-1.580767697	0.56763168	0.117652107	0.489853255	0.041034972	-1.2852421	0.150180147
RNASEH2A	5.847242101	6.023974035	4.968139996	4.922341604	4.311848123	4.239430047	4.516242255	4.571520506	4.087141339	4.349969641	5.554952546	5.678688768	5.905483845	5.446503762	5.78545389	5.663249729
RNASEH2B	2.949737974	2.812379855	2.002732935	2.352270094	1.914670409	1.670166233	2.212125437	2.146498918	1.617824447	1.226587225	4.668609328	4.341399808	4.485099725	4.179799042	4.976181255	4.755042205
RNASEH2C	-2.248531653	-1.820945668	-2.932726812	-1.461938499	-0.986551437	-2.274692213	-1.966677716	-1.760391678	-0.419012321	0.16925405	0.447337446	-0.042812566	0.996813243	0.247485849	-0.392157304	0.887145741
RNASEK	-0.412030386	-0.888059864	0.237198189	0.608450828	-0.986551437	-1.137188689	-0.007319701	-0.537999257	0.149271438	-0.285311813	2.55313211	2.059549152	2.470744432	2.816328685	2.621648495	2.55227859
