WT_RNA_Rep1	WT_RNA_Rep2	WT_RNA_Rep3	Null_RNA_Rep1	Null_RNA_Rep2	Null_RNA_Rep3
DAXX	6.86157578987408	6.47857288401945	6.73474680848755	6.58160594308953	6.55485904770507	6.76435415798808
ZBTB22	4.42276810485186	4.46316638324247	4.14062572677631	3.77340918582736	3.82446610746235	3.70109998837571
TAPBP	2.98595784103346	2.88828388887875	2.6693811221642	2.40429817439475	2.14481316653023	2.11613748765455
RGL2	5.5881688226768	5.37249944163034	5.58642547982584	5.38562069972176	5.15553019885605	5.62573062595555
PFDN6	5.48144202163889	5.65525817448935	6.11724389782109	5.75822473127262	5.83822675857195	6.28736162924849
WDR46	5.88867793392925	5.66518501439464	6.00355911345874	6.38441513849101	6.6340766507438	6.88825140392862
B3GALT4	1.11939933946016	0.682122738300714	1.29235988648195	-0.669902767446663	-0.0792676049589848	-0.0576919682436765
LOC105375022	-1.84842025479069	-2.23348507440891	-2.7568836325379	-2.99183086233403	-2.84007994107956	-3.8302814721406
RING1	5.34430769617588	5.05107616801396	5.33469867522185	4.654427817656	4.7490509966383	5.20955148299848
HSD17B8	2.41726372945705	3.03159716007374	3.13118308877897	0.606428461000588	0.432938553326857	1.64003846263943
SLC39A7	7.1877533577628	7.21453734527241	7.40032292870264	7.22154342377083	7.34575908002537	7.43161755442495
RXRB	4.50602360850121	4.84527223900621	4.73229532949345	4.20784148250234	4.28576399189864	4.14890551712397
LOC105375021	-3.61395500115367	-4.10795419232505	-5.92680863398021	0.247635072361364	-0.395295098406663	-2.24531897141945
C4A	1.32150474665162	1.48699239696872	1.49104388090569	1.48929582740259	1.02341805901558	0.562035950638156
ZBTB12	4.60811535409351	4.22743616236887	4.15400889362812	3.81409210423045	3.57307782498106	3.49464911090828
SNORD52	0.213864023463654	-0.201063596716535	0.702547986099401	0.105030676918563	-0.177114928357129	0.467399076500081
SNORD48	-1.07790210091346	-0.407514474183962	-0.569256629362125	-0.433835409213139	-0.965610823163418	-0.660356470698292
SNHG32	5.79076082544297	5.89813808099057	6.21178316065731	5.65562756412089	5.59501150538949	5.87073613306645
HSPA1B	6.2078189808169	6.28543626511893	6.24029584839972	6.56297113775811	7.05860541425741	7.54710983577351
HSPA1A	6.10132064511095	6.23300857192665	6.0972921462727	6.53281967374965	7.06229517340647	7.53257557315827
HSPA1L	0.982980141233567	0.993583834137008	1.15000696307062	1.13286488511529	1.28461580636976	1.50361926441283
LSM2	6.16050263841162	6.20908149262229	6.35135039745703	6.16101731267823	6.17394052923538	6.49727117194064
CCHCR1	5.44620049410094	5.76086836244995	5.81255007345319	4.65762492708826	4.48684883486617	4.92349240971216
PSORS1C2	-1.41232113998401	-1.04906050327149	-2.46737701534291	-0.489330521804843	-1.36614875274715	-0.891682016804747
CDSN	-2.47645147740373	-1.78602609743769	-1.83934579272987	-0.328865849611596	-0.724602723659623	-0.461047662474885
PSORS1C1	-2.76595809459872	-1.78602609743769	-1.28295244420548	-1.30377486864877	-1.61768751974311	-0.891682016804747
MUCL3	-2.02899250043251	-2.5229916916039	-2.46737701534291	-1.03247284683137	-2.30956522438078	-3.0933158779744
VARS2	6.17035266557472	6.03202342541615	6.00503690620346	5.25451388074687	5.0728093951504	5.11125526627481
GTF2H4	5.50654209729058	5.54847067095273	5.70391352812363	5.16635803105732	5.31135948951758	5.57698629210413
DDR1	7.94379587060884	7.60385615465962	7.50742863704668	6.8628644009835	6.7409113574562	6.92932934973444
LINC02570	1.44782119643302	-0.138327841368573	0.376972114196894	3.38706604468241	2.86957830709091	3.01520857880377
NRM	5.35701365936814	5.3480579057711	5.24374240133649	4.1924935181689	4.05204119519862	4.73577256603049
PPP1R18	5.59890611543924	5.60915097948031	5.7592541159152	5.94578816819965	6.22211614156035	6.12148891697365
OR2H2	-0.806600079096061	-0.834935697918638	-1.83934579272987	-0.231018526213452	-1.92254210127153	-0.557262977734188
HLA-DQB1-AS1	-4.35092059531987	-2.88556177098861	-0.972612323593334	-0.54704601966113	-0.583740187819773	0.0766091234679143
FKBPL	3.6282663939447	3.3812247697063	3.59871217511486	3.21978708740825	3.23554776373381	3.86784438016224
ATF6B	5.64578826253712	5.59190740717841	5.80323686889899	5.56488805770766	5.52186383265568	5.80452957803111
LOC124905352	-5.93588309604103	-3.37098859815885	-5.92680863398021	-0.87635364491409	-0.880721925576905	-2.60788905080416
LOC124901302	-1.18099559387756	-1.99247697490512	-1.28295244420548	-1.76943844099758	-1.61768751974311	-2.60788905080416
TCF20	6.70277906981863	6.56535488323664	6.20086333305877	6.52671301895636	6.5581887113282	6.01259263059676
CYP2D8P	-1.54356567326227	-2.23348507440891	-1.67888112053662	-1.91382835033275	-2.55057332388457	-1.95581235422446
LOC105377203	-3.61395500115367	-2.88556177098861	-3.60488053909285	-2.074293022526	-3.20265002046427	-5.41524397286176
CYP2D7	0.0864847169874266	0.535901997449671	0.612350177127823	0.178094139108286	-0.177114928357129	0.607123840166694
CYP2D6	0.982980141233567	1.12726226936898	1.29235988648195	1.16916101433828	1.26611946275237	1.35294035191517
OLA1P1	3.38378902490597	3.50920713078425	3.4108132680123	3.11203973543793	3.05877333546354	2.87477487407086
NDUFA6-DT	1.78521609266616	1.85397776684143	1.62008582590743	1.05741265668582	1.5522374816992	1.37917189348835
NDUFA6	6.24495846952563	6.26672307131798	6.53697115135518	6.1525441381212	6.41337363399662	6.65521244308289
SMDT1	3.6509566919208	3.96707919938377	3.89815010654831	3.67587206939507	3.91332254289732	4.10635646686197
PHETA2	2.77492333765832	1.72493582183969	2.25806670892807	1.40048656044473	1.77789761686956	2.25009194432342
MUC6	-4.35092059531987	-3.37098859815885	-3.1194537119226	-1.40686836161287	-2.55057332388457	-3.8302814721406
AP2A2	6.56122026097585	6.17552006281196	6.18073539799578	6.26738930670241	6.35549732567125	6.19624197037916
CLN8	5.0605903926922	5.01357932501498	5.02956752326946	5.8678764642678	6.02582513031315	5.85563532246702
CLN8-AS1	2.55997193084614	2.88073049444711	2.82473542510889	1.83259757308252	1.9266329964807	2.69849819318743
DLGAP2	1.68616872341535	1.48699239696872	0.918681416964166	0.977795488622455	1.12954640987692	0.607123840166694
FRG1-DT	0.571911544157669	0.456830426458472	0.548924796986189	-0.87635364491409	-0.455416090844234	-0.660356470698292
LOC105377616	-2.47645147740373	-3.37098859815885	-3.60488053909285	-1.91382835033275	-3.20265002046427	-1.16731645941817
HSP90AA4P	2.63017094213006	2.94732824317614	2.87085289187355	2.90163921751217	3.26379065669239	3.32958986463779
LOC105372225	0.722328386710767	0.329451119982244	1.82138421560925	0.65842309863885	-0.282084487958672	0.650845217596012
SALL3	5.82442102924535	5.14549938275113	5.47246929052876	6.12162192550922	5.65577508580761	5.36365450314662
LINC01896	3.66588769236668	3.57620998610321	4.09139154483302	3.2873927815991	2.91183599455262	2.77951288156049
WNT9B	0.130206094416745	0.189726356315631	-0.717355268351259	0.467600756303272	1.22839979680321	0.959795458485164
