   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
ABHD17B	44	46	24	56	47	33	23	17	33	21	8	9	0	6	7	12
ABHD17C	60	68	157	130	106	70	131	110	195	187	746	588	477	380	832	822
ABHD2	14990	17460	15451	16519	16101	10440	17751	14570	8485	6925	667	703	477	368	700	985
ABHD3	57	42	50	50	51	29	62	33	31	37	12	9	2	9	5	6
ABHD4	18	14	45	23	15	1	99	72	176	135	553	560	353	352	669	635
ABHD5	1299	1490	876	860	698	418	254	266	499	400	546	572	418	404	569	512
ABHD6	170	206	149	210	136	71	155	139	133	116	397	413	304	351	337	349
ABI1	21	50	37	52	30	22	43	41	18	37	8	15	14	10	10	19
ABI2	2492	2531	3212	3790	2777	1725	3109	2465	1343	1002	455	487	423	389	364	414
ABI3	0	0	0	0	0	0	4	0	78	44	42	40	25	43	37	35
ABI3BP	83	103	155	136	104	51	141	128	174	111	5	15	4	2	4	8
ABL1	13835	15886	12911	14845	17734	12410	21581	18117	8760	7103	1690	1701	842	973	1516	1701
ABL2	38	48	75	83	51	51	53	54	62	44	10	17	20	9	6	17
ABLIM1	5	6	6	12	7	4	13	7	11	12	6	5	0	2	4	1
ABLIM2	21	40	12	22	19	15	23	20	22	11	1	0	0	1	0	0
ABLIM3	156	149	427	573	316	211	240	199	165	89	72	79	78	43	13	21
ABR	59	83	90	82	70	60	86	76	77	69	22	29	36	54	43	44
ABRACL	3	5	33	19	2	2	26	32	40	31	583	559	361	299	476	446
ABT1	93	147	86	88	24	20	131	32	1973	1739	837	844	584	619	850	946
ABTB1	115	147	97	69	56	41	88	73	133	105	55	51	76	48	34	48
ABTB2	216	311	348	400	328	207	350	276	135	136	12	15	16	20	8	15
AC000003.2	1	0	0	0	0	0	0	0	0	7	15	8	5	13	9	4
AC000068.5	11	14	2	0	4	7	14	4	54	18	26	20	25	38	38	22
AC000089.3	50	57	36	48	14	11	35	38	26	24	36	32	33	26	41	52
AC000123.4	1	1	4	13	0	0	3	0	11	1	7	10	8	20	18	14
AC002116.7	23	26	16	15	8	11	12	18	10	1	1	7	5	2	7	11
AC002310.12	23	18	32	15	32	21	30	20	11	3	8	8	16	0	9	5
AC002365.5	14	29	9	14	21	13	27	17	13	17	4	0	0	3	3	3
AC002383.2	34	32	12	17	27	9	20	28	1	6	0	4	0	0	0	0
AC002400.1	1	0	0	3	0	0	0	1	5	2	6	11	18	8	17	16
AC002463.3	10	15	10	19	8	5	8	5	35	9	18	32	24	21	32	13
AC002480.3	21	19	27	19	7	6	2	8	1	6	54	46	18	13	49	71
AC002480.4	7	2	6	27	4	4	0	0	4	0	5	9	8	9	9	13
AC002539.1	6	1	3	5	7	7	8	11	0	4	0	2	0	0	0	0
AC002550.5	4	13	5	3	11	4	4	8	0	5	4	2	2	0	6	8
AC003002.6	4	4	7	9	3	1	2	3	14	10	0	3	3	1	1	3
AC003005.2	1	1	0	0	7	0	3	0	51	39	5	2	2	0	0	6
AC003092.1	248	253	85	68	442	250	508	446	210	150	3	4	0	2	0	8
AC003682.17	0	0	0	0	0	0	4	0	27	24	0	3	6	1	2	2
AC003986.6	0	6	1	1	4	1	12	5	0	0	3	6	3	19	1	1
AC003989.4	59	74	64	57	50	37	61	52	18	10	6	0	6	6	5	7
AC004006.2	526	585	347	551	455	359	508	391	127	109	1	2	0	0	0	10
AC004009.3	9	12	11	4	12	8	6	8	24	24	3	3	3	2	0	4
AC004022.8	7	4	0	19	3	5	1	2	4	4	0	0	0	0	0	0
AC004057.1	25	23	57	52	16	5	13	12	46	35	51	77	92	52	79	108
AC004156.3	3	8	2	3	2	1	5	5	8	17	4	4	0	5	1	2
AC004158.2	7	11	20	0	7	8	18	15	4	0	0	7	1	3	2	1
AC004160.4	74	77	56	55	44	47	69	60	24	5	1	3	0	0	0	1
