   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
GBA2	9	26	19	19	7	12	16	6	9	8	8	10	15	12	14	16
GBA3	8	13	20	1	9	5	21	11	53	31	6	9	22	15	2	7
GBAS	573	544	630	703	476	331	467	380	284	113	215	179	205	205	265	337
GBE1	6	7	5	9	8	4	8	13	11	7	0	0	3	0	0	1
GBF1	31035	36259	33632	33810	35102	22775	36299	32054	16313	14690	2277	2570	1979	1773	2519	3011
GBP1P1	7	9	2	3	1	0	3	2	22	34	4	8	0	4	1	3
GBP6	100	97	87	159	87	73	79	52	29	21	0	2	0	0	0	2
GBX1	8	15	4	15	8	13	16	8	7	2	0	0	0	0	0	0
GBX2	0	1	1	3	1	0	1	1	36	41	0	2	3	1	0	1
GCA	516	483	1005	1254	1414	858	1527	1278	188	137	42	79	79	91	97	80
GCAT	4589	6214	2624	3225	1598	1324	1768	1400	747	760	148	140	131	88	128	155
GCC1	24	48	53	71	42	34	23	25	21	25	9	5	5	2	8	8
GCC2	9078	8522	13822	14504	10319	5828	7755	6498	4663	3199	1641	1776	1217	1226	1649	1618
GCDH	749	937	442	590	666	443	776	669	549	508	307	335	278	232	372	375
GCFC2	6	4	2	7	1	6	2	2	5	1	3	3	7	1	8	10
GCGR	0	1	0	2	0	1	1	0	68	48	13	7	10	21	7	9
GCH1	67	88	141	131	126	95	136	118	44	35	7	13	9	13	9	17
GCHFR	706	1017	263	290	139	112	140	107	209	219	94	87	63	58	75	56
GCKR	13	20	21	29	14	10	16	18	33	20	6	6	10	10	7	5
GCLC	20	30	30	40	28	6	31	12	13	16	12	13	9	6	11	12
GCLM	15	17	38	15	24	16	10	12	5	3	11	26	7	4	24	20
GCM1	0	0	1	0	0	0	0	0	0	0	9	6	44	31	2	8
GCN1L1	103	146	161	191	133	111	159	135	113	92	45	46	43	53	39	55
GCNT1	911	986	893	1144	1238	750	1648	1387	992	860	103	113	130	81	176	186
GCNT1P4	5	10	6	4	8	11	1	2	4	1	0	0	0	0	0	1
GCNT2	7	2	2	19	11	1	3	2	7	6	185	233	167	157	269	246
GCNT3	16509	18632	11807	13483	13413	8899	15230	12782	7553	6716	120	103	60	44	39	258
GCOM1	124	132	160	158	164	100	202	211	75	69	2	1	0	3	1	1
GCOM2	185	165	122	115	165	87	210	182	173	92	30	38	16	31	31	61
GCSAML	19	20	12	12	18	10	25	31	48	22	5	2	3	0	1	3
GDA	721	773	987	876	961	539	997	842	501	253	35	24	8	15	16	25
GDAP1	11704	12293	12190	12444	11771	7513	17028	13893	6019	5018	122	96	29	22	69	253
GDAP1L1	8	17	0	11	4	3	9	9	17	5	5	0	1	0	2	0
GDAP2	23	29	12	27	27	9	16	17	19	28	7	6	7	2	5	8
GDE1	1	2	0	1	0	1	0	1	4	9	18	30	18	7	13	22
GDF11	187	217	289	399	336	271	147	95	663	568	405	402	341	337	423	392
GDF15	1	1	0	0	1	0	30	9	159	139	405	333	320	311	305	293
GDF7	6	13	18	3	1	0	9	11	14	9	4	5	0	2	1	0
GDF9	991	1376	1105	1333	508	369	582	427	328	312	6	16	1	5	8	11
GDI1	6344	8654	5708	6308	5329	3840	6121	5014	4620	4266	1134	1386	821	874	1125	1224
GDI2	140	175	172	194	124	103	183	156	167	174	48	43	38	29	44	59
GDI2P2	246	302	228	202	262	155	358	291	223	213	107	54	66	44	86	93
GDPD1	1	0	3	0	0	2	0	0	91	90	227	275	200	189	109	132
GDPD2	1	5	0	8	2	4	6	6	3	0	471	512	533	543	391	427
GDPD4	7	2	2	11	14	8	17	25	29	36	3	1	1	0	9	3
GDPD5	5	7	2	7	7	7	10	11	6	7	8	7	4	8	16	12
GDPGP1	153	184	128	149	139	120	217	141	83	63	26	20	12	11	24	22
GEM	5	21	43	41	25	17	30	39	8	6	0	2	0	0	0	0
GEMIN2	477	509	568	517	344	227	547	473	195	186	379	326	218	176	304	303
GEMIN4	1	3	0	2	3	3	2	1	8	5	10	11	9	10	10	9
GEMIN5	767	1154	1308	1475	1130	872	1041	815	302	277	17	6	16	13	18	25
GEMIN6	584	732	253	359	262	160	319	228	386	345	238	261	158	137	191	232
GEMIN7	227	273	121	144	86	65	144	132	284	224	197	238	226	156	267	295
GEMIN8P2	120	109	94	77	55	47	47	49	2	29	0	0	0	0	0	0
GEN1	842	884	1000	1014	925	535	581	558	452	307	382	462	466	363	487	557
GET4	138	193	88	121	92	58	110	75	159	125	137	152	86	103	149	149
GFER	345	487	252	227	130	84	169	121	244	244	360	328	281	221	442	418
GFM1	2717	2812	3230	3375	3105	1883	3219	2631	2946	2242	1439	1492	950	817	1618	1716
GFM2	20	32	49	63	39	23	39	33	43	15	9	8	6	13	5	10
GFOD2	7	14	0	8	0	4	4	5	12	2	4	2	3	1	3	4
GFPT1	44	62	91	133	115	63	102	71	70	65	10	15	11	12	15	22
GFPT2	4	9	3	3	3	6	7	9	5	11	0	3	1	0	0	1
GFRA1	23	27	22	24	22	14	30	21	6	15	0	3	0	0	1	0
GFRA2	21	29	5	17	26	23	25	33	28	28	1	1	0	1	0	1
GFRA3	1	5	1	13	1	2	4	3	3	6	1	0	0	1	1	0
GFY	1133	1330	1098	1174	997	679	1151	1047	456	401	8	13	19	14	2	22
GGA1	1368	1844	986	1136	802	579	1298	965	1245	1104	567	542	610	654	835	869
GGA2	29	39	63	57	39	23	34	17	32	26	22	25	29	28	21	25
GGA3	124	185	114	161	114	97	113	93	72	65	9	16	12	8	12	16
GGACT	93	107	111	94	124	76	145	123	49	26	0	0	1	0	1	0
GGCT	11	22	23	40	21	8	10	5	8	5	6	3	1	1	9	7
GGCX	17	24	20	18	19	18	18	11	29	8	7	5	8	7	1	6
GGH	31	22	43	32	11	4	10	6	10	5	2	2	1	2	1	10
GGNBP2	7225	8443	7866	8720	6759	4209	4877	4110	5088	4224	1511	1627	1030	1081	1718	1908
GGPS1	532	469	449	590	501	266	579	353	788	635	255	273	157	163	236	310
GGT1	182	229	99	111	167	133	190	167	122	140	29	26	49	42	33	25
GGT6	19	31	8	21	38	32	24	17	10	6	0	0	0	0	0	0
GGT7	7	11	10	7	4	5	3	8	3	2	1	3	0	0	3	1
GHITM	5681	6107	3340	3635	1839	1289	2614	1913	2924	2550	4333	4604	3495	3078	5235	5429
GHR	0	0	13	0	0	0	2	8	0	0	7	11	4	0	20	26
GHRHR	294	413	264	299	139	81	171	160	61	64	1	2	1	0	0	1
GHRLOS	34	35	10	40	16	15	43	22	119	68	63	66	53	23	51	52
GID4	5825	6882	6122	6418	6255	4174	6656	5618	3198	2671	729	644	364	363	531	710
GID8	1519	1889	1958	2276	2286	1562	2909	2321	1512	1353	948	940	767	716	1204	1299
GIGYF1	119	104	63	87	76	76	93	87	48	37	10	13	23	30	16	24
GIGYF2	8128	9067	9730	10644	9104	5941	9437	8239	5836	5265	1584	1674	1410	1214	1722	1752
GIMAP2	0	0	8	3	0	0	1	0	2	11	0	0	0	0	0	0
GIMAP7	0	0	0	1	0	0	1	0	10	0	6	2	3	1	4	3
GIMAP8	17	18	11	11	14	11	12	11	11	13	3	3	2	4	1	0
GINM1	1149	1095	955	1036	570	358	615	489	324	323	297	314	175	175	283	290
GINS1	1411	1462	1875	2193	2418	1611	2601	2020	1436	1007	1554	1483	1144	925	1973	2126
GINS2	181	260	163	192	93	61	110	98	50	41	10	13	13	6	23	18
GINS3	1775	2130	2309	2652	3712	2431	4073	3209	5442	4589	1280	1354	979	968	1067	1299
GINS4	517	530	454	538	520	396	605	505	1031	882	424	433	274	321	403	436
GIPC1	62	97	54	80	33	24	34	26	29	22	6	16	2	5	13	17
GIPC2	573	569	930	986	405	245	365	332	227	102	207	139	90	81	152	169
GIPC3	1	5	0	0	1	5	32	5	641	438	6	12	0	5	11	26
GIPR	0	0	0	0	0	0	5	0	100	44	21	16	24	19	8	11
GIT1	76	104	94	125	95	74	78	85	41	72	10	20	8	13	24	11
GIT2	270	321	333	416	346	275	381	289	218	243	8	7	10	2	6	19
GJA1	545	590	6122	6120	105	69	2498	1822	4049	3011	14478	14345	9788	8787	14674	14722
GJA10	3	6	0	4	1	0	4	1	2	0	7	18	7	22	12	10
GJA4	102	153	48	67	92	71	106	98	24	22	16	4	0	1	7	4
GJA8	4	1	15	7	2	1	1	6	25	10	0	0	0	0	0	1
GJB1	7	9	13	10	13	3	9	3	5	3	2	1	3	1	0	0
GJB3	0	0	0	0	0	0	1	4	10	0	1	13	0	1	12	9
GJB4	0	0	0	0	3	0	0	1	0	5	9	22	6	4	3	4
GJB5	1	0	0	0	0	0	4	0	1	0	11	15	1	15	5	3
GJC1	144	142	135	246	126	123	116	103	85	63	12	7	12	11	10	15
GK	7	16	67	90	17	8	36	17	16	24	74	78	123	156	42	41
GKAP1	24	24	28	51	25	19	43	47	40	31	13	10	15	5	7	8
GLA	12	16	16	20	4	3	8	6	22	20	15	17	8	6	14	22
GLB1	67	85	91	91	72	45	79	67	63	41	9	14	14	15	17	18
GLB1L	12	12	9	14	20	10	22	11	11	8	0	0	1	0	1	1
GLB1L2	1340	1561	593	688	875	619	900	761	380	285	27	33	5	25	23	31
GLB1L3	144	188	76	120	104	42	102	88	66	118	55	97	86	111	108	95
GLCCI1	5280	6182	5992	6666	6454	4206	6393	5397	2194	1781	326	341	215	136	335	360
GLCE	2416	2601	3030	3459	3310	1914	3416	2862	2342	1706	119	127	92	89	119	204
GLDC	0	0	0	2	0	0	2	2	0	0	14	19	50	30	28	22
GLDCP1	0	4	2	0	0	2	5	3	13	5	209	247	217	253	232	286
GLDN	441	477	458	562	323	262	406	326	193	84	27	35	169	137	12	24
GLE1	3980	4537	3579	4167	3820	2656	5092	4163	2795	2475	510	503	354	330	474	582
GLG1	13	9	9	5	1	2	1	3	4	3	1	2	2	4	0	2
GLI1	14	6	1	0	7	2	13	13	8	8	37	50	22	18	28	32
GLI2	5	0	0	0	0	0	3	2	6	9	2	6	4	18	0	1
GLI4	192	303	213	213	159	112	158	125	117	80	39	54	37	66	67	66
GLIPR1	1760	1904	2349	2468	1637	1037	1678	1382	595	436	87	76	27	28	44	39
GLIPR1L2	20	14	16	7	10	4	12	11	6	5	2	0	0	0	0	0
GLIPR2	55	63	30	78	32	23	49	55	58	27	1268	1282	692	703	1522	1519
GLIS2	275	373	72	37	500	379	345	277	497	462	324	358	274	358	260	263
GLIS3	19	29	18	22	21	18	81	76	87	79	10	11	1	1	9	12
GLIS3-AS1	15	20	10	19	10	11	15	18	7	8	0	2	0	0	0	0
GLMN	5	9	10	16	12	2	5	6	17	12	6	7	5	1	2	3
GLO1	17	19	19	21	12	7	18	12	23	13	19	33	19	16	20	26
GLOD4	7	16	21	16	21	8	19	23	11	9	12	3	18	14	12	13
GLP2R	0	0	0	0	0	0	1	1	15	3	0	1	0	0	0	2
GLRA2	491	460	809	691	690	493	801	675	656	424	26	25	12	12	14	31
GLRB	54	49	67	102	28	13	124	85	41	23	9	9	0	1	0	2
GLRX	85	79	37	46	21	22	24	14	7	5	0	2	0	1	5	1
GLRX3	692	780	549	582	310	223	455	360	1309	807	1290	1381	910	969	1459	1522
GLRX5	1332	1476	1364	1641	762	599	741	512	1153	1133	1316	1290	1046	839	1602	1715
GLS	253	247	601	655	186	119	584	357	3761	2763	1315	1273	852	766	1117	1344
GLS2	6	5	4	5	6	5	17	12	9	8	0	0	0	0	2	0
GLT1D1	902	1127	969	996	1463	914	1691	1400	200	220	180	223	170	146	297	299
GLT8D1	10	11	13	11	16	4	13	7	17	9	7	6	7	4	4	4
GLTP	3	7	6	25	2	3	2	0	7	6	2	3	6	2	4	4
GLTPD2	1	2	2	0	0	1	4	0	63	72	40	36	18	21	53	43
GLTPP1	24	34	5	40	12	10	23	21	0	1	0	0	0	0	0	0
GLTSCR1	6413	9099	9070	12543	11970	8808	11593	9266	8114	7446	495	523	510	469	517	730
GLTSCR1L	1253	1509	1035	1152	1476	995	1682	1384	1320	1174	341	396	304	298	397	498
GLTSCR2	1600	2383	2181	3298	2017	1690	2442	1680	4696	4557	1959	1882	1962	1577	2445	2351
GLUD1	10	14	5	22	7	4	14	8	39	28	39	28	31	26	26	52
GLUD1P3	52	50	65	43	64	40	66	74	78	92	30	27	12	23	16	19
GLUD2	247	241	133	160	256	162	385	303	436	364	1034	1023	493	511	695	683
GLUL	35	35	29	13	19	15	27	18	230	195	68	54	67	49	62	63
GLULP5	41	50	34	36	54	33	94	99	145	125	7	5	1	3	0	14
GLYATL1	2495	2973	2933	3290	3670	2408	5964	5044	2276	1797	13	20	4	0	10	68
GLYATL1P3	12	4	4	9	3	1	10	7	3	0	0	0	3	0	0	0
GLYATL1P4	7	17	5	5	6	5	20	18	1	5	0	0	4	0	0	0
GLYATL3	342	355	235	247	328	173	320	253	47	56	9	0	0	0	0	1
GLYCTK	21	13	32	26	10	9	16	4	76	65	47	41	69	28	48	57
GLYR1	17	23	40	31	22	23	47	29	35	41	19	21	15	19	28	17
GM140	5	5	10	17	3	3	9	9	0	6	1	0	0	0	0	0
GM2A	2529	3325	2162	2450	2052	1260	2253	1915	978	899	1871	1987	1064	932	3250	3157
GMCL1	3179	3069	4366	4675	4262	2538	3995	3317	947	639	371	313	235	166	320	333
GMDS	53	45	34	40	46	32	66	61	39	27	1	7	1	3	3	6
GMDS-AS1	148	152	104	173	140	90	133	103	60	79	9	11	9	10	2	4
GMEB1	1703	2041	1560	1911	1881	1310	2128	1909	1110	1193	451	516	497	472	678	727
GMEB2	37	35	35	44	29	17	34	18	28	16	5	5	6	8	5	9
GMFB	18	16	27	28	20	20	33	29	21	23	4	4	7	3	3	12
GML	171	196	123	108	68	33	75	69	11	28	0	0	0	0	0	3
GMNN	2622	2801	2191	2660	2038	1287	2556	1990	2920	2130	1004	976	732	706	1209	1153
GMPPA	1062	1354	764	558	554	347	752	581	297	359	288	351	256	185	308	369
GMPR	268	342	229	274	128	101	271	224	76	51	9	14	3	11	14	14
GMPR2	1613	1950	1235	1125	1585	1150	1887	1557	1174	873	351	368	376	283	373	458
GMPS	1612	1790	1323	1435	1161	730	1366	1141	3205	2501	2096	2193	1407	1229	2256	2306
GMPSP1	46	39	29	13	7	9	32	19	118	109	82	94	76	50	73	111
GNA11	7259	10154	10652	13521	10652	8214	11846	9772	4923	5046	1553	1669	1008	945	1481	1675
GNA12	137	177	248	266	201	166	225	181	76	49	11	8	21	29	14	15
GNA13	69	95	122	203	131	95	158	122	153	130	26	20	31	28	10	30
GNA14	233	364	289	404	347	283	346	231	123	163	3	2	0	2	0	3
GNAI1	2588	2772	4693	5473	5746	3527	6567	5536	1805	1378	109	139	79	65	78	107
GNAI2	2170	2990	2186	2562	2809	1985	3686	2922	3698	3533	1588	1641	1135	1264	1406	1451
GNAI3	4948	5306	4832	5165	4604	2912	5568	4511	6167	4735	1491	1549	1133	902	1557	1761
GNAL	96	100	34	71	103	77	76	50	268	280	150	160	144	115	141	155
GNAO1	681	874	667	880	808	646	840	719	505	530	78	102	28	26	44	49
GNAQ	43	52	48	72	61	29	86	55	40	40	17	12	7	6	7	14
GNAS	5095	6683	4786	5731	2021	1422	3548	2933	2810	2726	7506	7645	5941	5804	8706	8550
GNAT1	0	0	0	0	0	0	4	0	5	12	3	1	0	0	0	4
GNAT2	21	32	26	28	24	18	20	17	15	4	0	3	0	0	0	1
GNAT3	5	2	2	10	2	2	0	3	0	0	0	0	0	0	0	0
GNAZ	244	353	304	408	237	178	310	248	154	126	27	9	9	11	8	20
GNB1	133	173	221	269	258	167	249	193	139	147	54	44	57	27	79	78
GNB2	1786	2549	1751	1724	1921	1499	3363	2617	3159	3273	2377	2337	1748	1634	2452	2405
GNB2L1	32	37	37	47	27	17	35	31	293	258	211	267	255	198	253	297
GNB3	194	256	234	315	194	120	275	272	118	121	2	6	14	6	5	13
GNB4	19	22	22	60	29	21	30	25	20	14	3	2	2	0	0	1
GNB5	4	18	5	19	0	4	5	12	8	6	0	2	1	1	1	0
GNE	7	10	13	17	5	11	13	6	7	1	1	2	4	6	4	0
GNG10	49	64	56	84	49	28	51	63	11	5	185	185	81	90	210	207
GNG11	2	3	0	12	0	0	6	3	45	57	5	5	0	0	1	1
GNG12	51	59	89	116	62	46	79	77	47	33	6	3	6	1	4	4
GNG12-AS1	128	156	171	101	121	87	137	121	83	77	18	11	3	10	6	7
GNG2	3355	3405	3235	3494	3676	2246	4632	3757	1782	1588	37	21	7	2	9	54
GNG3	16	20	2	10	5	5	13	13	189	175	22	27	30	27	48	43
GNG5	35	45	24	37	18	4	26	31	47	26	23	28	26	9	25	36
GNG7	3	3	14	4	4	3	2	3	0	2	0	0	0	0	1	1
GNGT1	0	0	0	0	0	1	0	0	17	10	32	32	23	32	36	26
GNL1	15	20	16	26	11	8	16	8	32	26	7	18	14	15	24	21
GNL2	12	19	33	40	26	18	23	18	54	34	15	25	25	13	14	35
GNL3	3372	3737	3822	3909	3309	2326	3609	2958	4339	3590	4141	4130	2834	2736	4384	4321
GNL3L	161	166	122	115	135	87	173	128	710	722	586	589	444	513	635	675
GNLY	0	0	1	2	0	0	11	7	4	7	5	7	0	0	0	0
GNN	10	9	12	21	5	6	18	11	19	12	2	1	0	0	1	1
GNPAT	3517	3690	3513	3539	3591	2236	4873	3992	1763	1337	318	291	239	218	324	372
GNPDA1	64	76	93	81	41	40	31	25	9	21	23	18	16	19	26	34
GNPDA2	163	167	250	240	218	124	165	127	52	41	3	4	0	0	1	4
GNPNAT1	6	10	8	8	2	0	1	3	10	8	21	16	7	12	8	24
GNPTAB	78	76	104	102	78	47	71	53	57	50	20	10	20	13	9	8
GNPTG	237	390	248	357	125	97	122	105	186	252	275	261	269	319	274	340
GNRH2	7	10	7	21	4	7	6	4	14	4	7	8	3	9	4	4
GNS	179	213	219	315	154	148	175	144	133	99	6	14	4	8	10	15
GOLGA1	20	23	29	25	28	21	27	22	19	15	5	9	3	4	2	3
GOLGA2	41	32	56	71	32	36	27	23	33	24	4	4	10	0	4	11
GOLGA2P3Y	43	68	20	57	44	39	38	23	12	6	0	0	0	0	0	0
GOLGA2P4	17	23	2	8	11	5	13	14	24	12	6	3	3	6	8	2
GOLGA2P5	21	18	25	26	23	16	18	17	0	6	0	1	3	0	0	0
GOLGA2P8	630	861	525	522	608	462	492	419	92	101	3	0	2	0	3	4
GOLGA2P9	56	76	48	63	32	21	35	32	17	20	1	1	0	0	0	0
GOLGA3	166	211	293	301	306	215	293	255	203	192	28	32	17	19	20	24
GOLGA4	9227	8808	14997	15116	9450	5507	7702	6253	8991	6834	4685	5087	5230	4570	5324	5618
GOLGA5	4027	4226	5722	6101	6888	4398	7023	6104	2458	1819	860	856	698	574	791	894
GOLGA6B	6	6	10	5	6	2	7	2	11	20	0	1	1	0	1	0
GOLGA6C	4	7	3	0	1	1	3	4	10	1	0	1	0	0	0	0
GOLGA6D	0	2	2	7	3	4	4	3	10	11	0	0	0	0	0	0
GOLGA6L1	1	3	0	0	0	0	4	0	19	4	0	0	0	0	0	0
GOLGA6L17P	0	1	0	1	2	4	1	2	19	7	1	1	0	2	2	0
GOLGA6L20	10	9	6	13	3	3	5	3	3	0	1	5	3	9	3	8
GOLGA6L4	1	8	3	23	2	4	2	2	0	6	0	0	0	2	0	1
GOLGA7	4200	4332	4297	4382	5091	3368	6238	5078	2411	2006	1103	1181	1552	1381	894	958
GOLGA7B	18	28	1	8	6	3	20	19	29	32	58	52	59	56	14	14
GOLGA8A	1	6	1	3	4	0	3	0	7	13	2	4	12	5	6	9
GOLGA8F	5	5	4	3	10	5	22	16	5	5	0	0	0	0	0	0
GOLGA8H	52	41	19	44	74	62	91	78	29	42	0	0	1	1	3	5
GOLGA8I	26	24	38	25	40	21	29	35	73	32	3	4	3	1	1	6
GOLGA8J	1	0	1	2	3	2	7	2	11	4	0	0	0	0	0	0
GOLGA8N	11	3	0	3	14	8	12	9	11	16	0	0	0	1	0	0
GOLGA8Q	6	4	0	2	3	4	13	3	6	1	0	3	0	0	0	0
GOLGA8S	1	9	18	7	7	4	12	8	19	30	0	0	0	0	0	0
GOLGA8UP	3	3	1	3	3	1	3	3	12	12	4	3	4	4	10	5
GOLGA8VP	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
GOLGB1	4	2	3	7	5	4	3	1	23	17	13	8	23	13	20	10
GOLM1	161	186	237	312	125	98	158	105	145	136	4	10	4	7	6	13
GOLPH3	30	38	67	85	50	51	78	63	37	44	24	32	17	19	29	21
GOLPH3L	28	40	26	36	35	28	33	22	4	18	4	2	2	7	1	16
GOLT1B	1796	1618	2159	2089	2478	1327	2966	2476	2083	1304	599	576	594	459	619	666
GON4L	24	46	43	70	36	20	63	40	67	58	17	10	12	18	13	8
GOPC	21	12	24	26	37	21	27	31	6	10	5	4	2	4	4	7
GORAB	160	131	205	312	169	107	185	141	205	157	107	91	103	84	112	119
GORASP1	24	31	32	33	12	17	22	15	8	7	10	14	4	6	6	9
GORASP2	14524	17808	14351	15704	18689	12428	19207	16436	6354	5850	2423	2678	1625	1659	2692	2753
GOSR1	403	465	405	445	295	239	371	277	999	756	1256	1147	767	859	1087	1302
GOSR2	1733	2110	1307	1491	1735	1149	2019	1727	1119	1112	371	375	232	218	318	382
GOT1	32	43	27	44	23	15	32	26	7	17	8	15	13	1	8	14
GOT2	73	96	91	118	69	42	74	69	29	72	13	17	17	19	23	25
GOT2P1	11	10	18	0	7	1	6	6	0	2	0	1	0	0	0	0
GP1BA	273	359	394	428	433	299	437	338	194	184	13	32	22	14	33	40
GP9	1	0	0	0	0	0	1	2	2	11	0	0	0	0	0	0
GPAA1	1288	1806	1114	1229	488	383	628	488	234	276	881	942	708	764	1173	1232
GPALPP1	548	565	858	888	926	509	1103	943	674	554	97	96	106	89	92	171
GPAM	13	23	21	23	21	16	8	20	22	14	6	6	7	7	16	9
GPANK1	25	36	30	41	23	24	28	20	27	31	11	18	21	13	9	14
GPAT2	5	5	23	12	1	9	3	2	0	3	0	1	0	0	0	0
GPATCH1	914	965	1236	1140	1172	766	1439	1113	805	775	366	456	283	273	355	405
GPATCH11	1201	1186	1488	1356	1150	755	1017	702	2484	1976	294	305	142	121	317	299
GPATCH2	6	13	11	8	11	14	17	8	15	14	4	6	11	8	9	13
GPATCH2L	2740	3134	3377	3517	3470	2248	3047	2566	2232	1934	626	719	527	533	755	827
GPATCH3	5	5	7	11	8	8	10	1	81	75	7	11	9	10	6	7
GPATCH4	6	6	7	5	5	11	4	8	18	33	8	11	15	12	16	15
GPATCH8	64	115	131	118	95	70	107	67	79	62	18	22	22	19	25	27
GPBAR1	1	0	0	6	0	0	3	2	45	53	10	14	4	11	7	19
GPBP1	16797	16380	18936	19517	15475	9307	14475	11710	11042	8571	2688	2486	1754	1510	2181	2650
GPBP1L1	29	41	57	59	40	19	65	55	114	103	33	40	44	37	41	39
GPC1	2548	3628	3095	3494	1279	1002	2495	1997	1063	994	469	603	480	503	722	660
GPC3	3	3	0	1	2	2	11	3	4	9	0	4	0	2	0	0
GPC5	989	1189	991	934	873	637	918	738	411	262	11	25	4	1	3	13
GPC5-IT1	34	17	75	38	53	20	32	24	14	15	0	0	0	0	0	0
GPC6	1057	1174	2296	1999	781	548	1056	925	467	488	65	86	8	1	4	16
GPCPD1	20	31	31	35	34	16	27	23	25	29	15	13	21	23	7	16
GPD1	984	1244	587	726	590	477	799	697	334	287	9	9	2	3	12	14
GPD1L	776	788	701	965	1152	788	1385	1167	525	516	270	260	136	98	267	313
GPD2	6695	6838	7812	8126	12143	7654	13595	11000	6849	5719	3403	3387	2136	1985	3452	3893
GPER1	4	7	17	17	4	1	4	4	30	27	16	9	30	34	12	32
GPHA2	20	19	8	14	14	11	15	18	3	3	0	0	0	1	0	0
GPHN	655	752	679	860	732	466	827	699	466	453	343	291	254	237	336	353
GPI	6635	8807	4673	5636	5988	4400	7644	6348	3771	3309	3764	3780	2980	3025	4982	5340
GPIHBP1	3	9	1	17	0	6	13	6	23	12	5	6	4	5	1	8
GPKOW	35	50	25	32	21	22	22	31	23	56	5	12	6	10	8	8
GPLD1	42	53	50	72	58	40	99	81	99	62	8	14	2	5	3	2
GPM6A	7	4	2	1	11	3	4	0	1	0	0	1	0	0	0	0
GPM6B	16	16	21	20	12	10	20	17	14	13	2	0	0	0	1	4
GPN1	2282	2741	1848	1945	1995	1304	2643	2236	2073	1466	672	653	420	379	645	618
GPN2	20	47	25	42	17	13	13	18	14	18	4	8	9	1	6	5
GPN3	15	21	24	4	2	2	11	2	14	16	1	5	5	3	2	4
GPNMB	126	158	102	123	160	115	174	176	177	172	148	160	41	26	129	116
GPR1	19	12	25	41	39	17	26	15	3	2	4	1	0	0	0	0
GPR107	6923	8176	5775	6457	5320	3565	6186	5114	3290	2785	1395	1401	1269	1230	1538	1726
GPR108	8	13	6	24	5	3	11	6	6	8	3	7	8	7	11	7
GPR111	0	0	16	0	0	0	0	0	13	10	4	6	16	7	6	5
GPR112	0	0	6	0	0	0	5	0	48	19	1	3	0	0	0	0
GPR114	2	9	11	24	6	6	8	10	15	39	57	54	47	68	55	95
GPR115	3	0	0	6	0	0	0	2	0	5	5	6	15	7	13	7
GPR119	5	9	20	0	8	2	11	8	8	6	0	0	0	0	0	0
GPR123	0	0	2	0	2	0	2	0	19	3	4	2	2	1	0	1
GPR124	34	30	9	3	8	11	5	6	8	8	6	12	5	13	8	8
GPR125	11	18	23	19	27	17	33	26	9	22	6	4	4	8	5	2
GPR126	4584	4480	4465	4227	3212	1902	2735	2349	1109	863	507	516	210	188	704	659
GPR128	160	148	14	7	24	7	14	17	13	2	30	29	23	37	36	49
GPR133	3040	3985	2763	3531	3355	2575	3024	2358	848	979	102	112	94	122	116	139
GPR137	4202	6340	3807	4460	4095	3196	4434	3534	1766	1907	383	382	332	408	326	402
GPR137B	4201	5013	4382	4883	4593	3050	5430	4525	1550	1314	53	62	6	6	7	62
GPR137C	164	191	307	305	251	136	314	248	196	98	10	17	4	26	22	24
GPR143	50	74	55	73	29	22	31	18	12	13	0	0	0	2	0	0
GPR144	1	0	0	8	0	0	2	1	3	16	2	0	0	1	0	0
GPR146	2	1	0	8	1	1	1	1	18	13	3	6	2	6	7	4
GPR153	19	23	10	21	12	8	13	10	11	9	3	0	2	1	0	1
GPR155	1	2	9	15	1	0	9	3	19	14	1	2	2	0	3	1
GPR156	45	35	31	55	40	24	22	22	19	20	1	2	0	0	0	3
GPR158	1242	1380	1037	962	1713	1048	1964	1598	750	641	15	22	13	9	12	24
GPR160	1232	1170	1242	1374	952	669	1031	827	291	231	406	435	746	638	342	390
GPR17	9	8	16	19	1	0	2	0	4	6	2	3	0	5	1	2
GPR173	7	8	18	18	3	2	15	8	14	11	8	8	2	2	1	3
GPR180	686	751	643	817	301	193	221	160	222	196	161	149	100	59	163	149
GPR182	35	38	30	26	23	21	35	38	9	19	0	2	0	0	8	0
GPR19	5	10	2	9	6	6	14	17	3	5	1	1	0	0	1	1
GPR22	70	61	70	36	18	12	25	24	19	10	4	7	9	10	15	10
GPR26	3	3	12	4	1	1	4	1	7	11	3	1	0	0	0	0
GPR27	32	33	61	70	55	45	57	44	38	34	140	148	95	60	139	138
GPR3	718	1151	750	876	933	645	1222	1041	610	642	34	33	40	34	18	32
GPR32	0	0	0	1	1	1	0	0	5	6	37	55	136	161	11	19
GPR34	0	0	0	11	0	1	0	0	1	1	3	3	0	1	3	7
GPR35	1	1	0	7	2	1	2	2	6	1	3	13	2	3	3	7
GPR37	96	143	157	173	209	143	135	100	25	37	6	1	1	0	8	10
GPR37L1	86	86	52	61	87	46	98	90	84	101	58	39	13	23	28	28
GPR39	11469	15135	8909	10491	12818	9706	14810	12445	5401	5131	73	61	7	18	27	170
